,index,film,budget_processed,genre_1,original_language,popularity,release_date,runtime,revenue
2073,2073,The Black Dahlia,50000000,Drama,en,6.506572,9/15/06,121.0,49111202.0
2074,2074,I'm Staying,1000000,Comedy,ru,0.594488,4/19/07,112.0,404785.0
2075,2075,No One Lives,2900000,Horror,en,7.202832,3/9/13,86.0,74918.0
2076,2076,Mugabe and the White African,18000000.0,Documentary,en,0.14603,8/7/09,90.0,4542.0
2077,2077,Company Business,18000000.0,Action,en,1.228145,9/6/91,98.0,1501785.0
2078,2078,Angel Heart,17000000,Horror,en,7.290872,3/6/87,113.0,17185632.0
2079,2079,Superbad,18000000.0,Comedy,ru,0.245606,10/13/16,75.0,263000.0
2080,2080,Once Upon a Time in Mexico,29000000,Action,en,8.843365,9/11/03,102.0,98185582.0
2081,2081,Major League,11000000,Comedy,en,5.304376,2/16/89,107.0,49797148.0
2082,2082,Full Frontal,2000000,Comedy,en,2.186683,8/2/02,96.0,2506446.0
2083,2083,A Man Who Was Superman,18000000.0,Comedy,ko,1.95315,1/31/08,102.0,3848034.0
2084,2084,The Hitcher,6000000,Action,en,5.648114,2/21/86,97.0,5844868.0
2085,2085,The Mirror Crack'd,18000000.0,Crime,en,2.481504,9/19/80,105.0,11000000.0
2086,2086,The Three Burials of Melquiades Estrada,15000000,Adventure,en,9.117934,11/17/05,121.0,12036149.0
2087,2087,Oculus,5000000,Horror,en,8.698043,9/8/13,104.0,44030246.0
2088,2088,3 Godfathers,1243000,Action,en,3.803268,12/1/48,106.0,2841000.0
2089,2089,Exit Wounds,50000000,Action,en,12.280827,3/13/01,101.0,79958599.0
2090,2090,Deadfall,10000000,Crime,en,1.145806,10/8/93,98.0,18.0
2091,2091,A Thousand Words,40000000,Drama,en,5.446745,3/7/12,91.0,22044277.0
2092,2092,Witchboard 2: The Devil's Doorway,18000000.0,Mystery,fr,0.960569,9/10/93,98.0,168180.0
2093,2093,The Last Legion,67000000,Action,en,8.920545,4/19/07,102.0,25303038.0
2094,2094,A Simple Life,18000000.0,Drama,cn,2.711041,9/4/11,118.0,2802459.0
2095,2095,Beetle Queen Conquers Tokyo,18000000.0,Documentary,en,0.075409,3/1/09,90.0,10068.0
2096,2096,Hustler White,18000000.0,Romance,en,1.068288,7/19/96,79.0,127251.0
2097,2097,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,Adventure,en,47.326665,7/9/03,143.0,655011224.0
2098,2098,Band of Outsiders,120000,Crime,fr,5.648187,8/5/64,97.0,182857.0
2099,2099,Friday the 13th,550000,Horror,en,12.146747,5/9/80,95.0,59754601.0
2100,2100,The Best Offer,13500000,Drama,en,8.995603,1/1/13,124.0,19255873.0
2101,2101,Snow Flower and the Secret Fan,134005,Drama,en,2.003832,7/15/11,104.0,1332231.0
2102,2102,Don't Breathe,9900000,Crime,en,25.869883,8/25/16,88.0,157100845.0
2103,2103,Ace Ventura: Pet Detective,15000000,Comedy,en,11.247957,2/4/94,86.0,107217396.0
2104,2104,Splendor,18000000.0,Comedy,en,3.508075,1/29/99,93.0,45703.0
2105,2105,Fido,8000000,Romance,en,5.284805,9/7/06,91.0,426224.0
2106,2106,Stagecoach,531374,Adventure,en,7.970462,3/2/39,96.0,1103757.0
2107,2107,Battle in Seattle,8000000,Action,en,4.518646,9/7/07,99.0,908847.0
2108,2108,The Ring Two,50000000,Drama,en,16.15818,3/17/05,110.0,161451538.0
2109,2109,Mishima: A Life in Four Chapters,5000000,Drama,en,8.591834,5/15/85,121.0,502758.0
2110,2110,Vinnaithaandi Varuvaayaa,3000000,Drama,ta,1.036233,2/26/10,157.0,12000000.0
2111,2111,The World Is Not Enough,135000000,Adventure,en,12.130127,11/8/99,128.0,361832400.0
2112,2112,The Man without a Face,18000000.0,Drama,en,5.997712,8/25/93,114.0,24760338.0
2113,2113,Logan's Run,9000000,Adventure,en,6.842274,6/23/76,119.0,25000000.0
2114,2114,Killing Them Softly,15000000,Crime,en,6.777326,9/20/12,97.0,37930465.0
2115,2115,Eraser,100000000,Action,en,6.919314,6/21/96,115.0,242295562.0
2116,2116,The Birdcage,31000000,Comedy,en,6.49968,3/8/96,117.0,185260553.0
2117,2117,American Adobo,344,Comedy,en,0.158651,9/29/01,104.0,4.0
2118,2118,Moonlight Mile,21000000,Romance,en,14.074906,9/9/02,117.0,10011050.0
2119,2119,Downtown,18000000.0,Action,en,1.026053,1/12/90,96.0,2346150.0
2120,2120,Spartacus,12000000,Action,en,11.110376,10/6/60,197.0,60000000.0
2121,2121,Olympus Has Fallen,70000000,Action,en,10.978188,3/20/13,120.0,161025640.0
2122,2122,Time Out of Mind,18000000.0,Drama,en,4.248105,9/7/14,120.0,166775.0
2123,2123,Broken Flowers,10000000,Comedy,en,6.589304,5/17/05,105.0,45742101.0
2124,2124,Mike and Dave Need Wedding Dates,33000000,Comedy,en,12.237571,7/7/16,98.0,77068246.0
2125,2125,Speed 2: Cruise Control,160000000,Action,en,11.268531,6/13/97,121.0,164508066.0
2126,2126,Guardians of the Galaxy Vol. 2,200000000,Action,en,185.330992,4/19/17,137.0,863416141.0
2127,2127,Cats & Dogs,60000000,Comedy,en,8.142251,7/4/01,87.0,93375151.0
2128,2128,The Last Temptation of Christ,7000000,Drama,en,11.370288,8/12/88,164.0,8373585.0
2129,2129,The Future,18000000.0,Drama,it,1.051148,9/6/13,94.0,13983.0
2130,2130,Scary Movie 5,20000000,Comedy,en,14.27281,4/11/13,86.0,78378744.0
2131,2131,About a Boy,27000000,Drama,en,10.956665,4/26/02,101.0,129000000.0
2132,2132,Hitman,24000000,Action,en,13.765241,11/21/07,89.0,99965753.0
2133,2133,The Warrior's Way,42000000,Adventure,en,5.510805,12/2/10,100.0,11087569.0
2134,2134,Van Helsing,160000000,Horror,en,12.643312,5/5/04,132.0,300257475.0
2135,2135,Pirates of the Caribbean: On Stranger Tides,380000000,Adventure,en,27.88772,5/14/11,136.0,1045713802.0
2136,2136,Police Academy 6: City Under Siege,18000000.0,Comedy,en,5.612379,3/9/89,84.0,11567217.0
2137,2137,Crossing Over,25000000,Crime,en,6.036408,2/27/09,113.0,1037335.0
2138,2138,Conquest of the Planet of the Apes,1700000,Action,en,12.843375,6/29/72,88.0,9700000.0
2139,2139,Gangster Squad,60000000,Crime,en,8.581558,1/10/13,113.0,105200903.0
2140,2140,Catch a Fire,18000000.0,Action,en,3.451518,10/27/06,101.0,4291965.0
2141,2141,Sicario,30000000,Action,en,19.511221,9/17/15,121.0,84025816.0
2142,2142,The Magnificent Seven,2000000,Western,en,10.650752,10/22/60,128.0,4905000.0
2143,2143,The Last Exorcism Part II,5000000,Horror,en,5.874458,2/28/13,88.0,15179302.0
2144,2144,The Final Cut,18000000.0,Action,en,1.797462,3/1/96,96.0,551281.0
2145,2145,License to Drive,8000000,Comedy,en,9.631158,7/6/88,90.0,22433275.0
2146,2146,Ai Weiwei: Never Sorry,18000000.0,Documentary,en,2.643111,6/14/12,91.0,181107.0
2147,2147,Rosemary's Baby,3200000,Horror,en,11.504558,6/12/68,136.0,33395426.0
2148,2148,The Accidental Husband,18000000.0,Comedy,en,8.761268,2/29/08,90.0,22707064.0
2149,2149,Big Momma's House 2,40000000,Comedy,en,7.622875,1/26/06,99.0,138259062.0
2150,2150,Mechenosets,5000000,Action,ru,0.414793,10/12/06,0.0,3919731.0
2151,2151,The Pagemaster,27000000,Fantasy,en,7.436001,11/23/94,80.0,13670688.0
2152,2152,Reno 911!: Miami,10000000,Action,en,4.468247,2/23/07,84.0,20342161.0
2153,2153,Supersonic Man,18000000.0,Adventure,es,1.021641,11/1/79,88.0,519204.0
2154,2154,Hitler's Kaput!,3000000,Comedy,ru,0.878255,9/18/08,99.0,9713500.0
2155,2155,Vampire in Brooklyn,14000000,Comedy,en,9.071127,10/26/95,100.0,19800000.0
2156,2156,Dreamcatcher,68000000,Drama,en,7.694847,3/21/03,136.0,75715436.0
2157,2157,Stand by Me,8000000,Crime,en,15.206957,8/22/86,89.0,52287414.0
2158,2158,The Life Aquatic with Steve Zissou,50000000,Adventure,en,6.936677,12/10/04,119.0,34808403.0
2159,2159,Bend It Like Beckham,3500159,Comedy,en,6.262677,4/11/02,112.0,76578641.0
2160,2160,Regression,18000000.0,Horror,en,10.03628,10/1/15,106.0,17671101.0
2161,2161,Gremlins,11000000,Fantasy,en,11.333125,6/7/84,106.0,153083102.0
2162,2162,Higher Learning,18000000.0,Romance,en,7.817811,1/11/95,127.0,38290723.0
2163,2163,Texas Chainsaw Massacre: The Next Generation,600000,Horror,en,6.854576,1/1/94,95.0,185898.0
2164,2164,Joy,60000000,Drama,en,12.975936,12/24/15,124.0,101134059.0
2165,2165,The Loft,14000000,Thriller,en,14.443362,10/14/14,108.0,10076790.0
2166,2166,Chain Reaction,50000000,Action,en,15.874491,8/2/96,107.0,60209334.0
2167,2167,The Hangover Part III,103000000,Comedy,en,25.085639,5/23/13,100.0,362000072.0
2168,2168,Mistress America,18000000.0,Comedy,en,6.969947,8/14/15,84.0,2500431.0
2169,2169,House of Wax,658000,Crime,en,9.072006,4/10/53,90.0,23800000.0
2170,2170,The Lobster,4000000,Thriller,en,11.223033,10/8/15,118.0,15656193.0
2171,2171,Eye of the Dolphin,2500000,Drama,en,0.46335,8/24/07,100.0,71904.0
2172,2172,Star Trek IV: The Voyage Home,24000000,Science Fiction,en,12.596956,11/25/86,119.0,133000000.0
2173,2173,Welcome Mr. President!,18000000.0,Comedy,it,4.709454,3/19/13,100.0,9500000.0
2174,2174,A Moment of Innocence,18000000.0,Comedy,fa,1.342194,8/13/96,78.0,37598.0
2175,2175,Masters of the Universe,22000000,Action,en,7.106954,8/7/87,106.0,17336370.0
2176,2176,The Spanish Apartment,5300000,Drama,fr,5.94395,5/17/02,122.0,3897799.0
2177,2177,Crossroads,12000000,Action,en,6.631356,2/15/02,93.0,61141030.0
2178,2178,21 Grams,20000000,Drama,en,6.372278,9/6/03,124.0,60427839.0
2179,2179,The Last Castle,72000000,Action,en,9.807552,10/19/01,131.0,27642707.0
2180,2180,Mystic River,25000000,Thriller,en,12.602438,10/7/03,138.0,156822020.0
2181,2181,Police Academy 3: Back in Training,18000000.0,Comedy,en,7.10005,3/20/86,83.0,43579163.0
2182,2182,Hart's War,70000000,Drama,en,14.116474,2/15/02,125.0,32287044.0
2183,2183,Brain Donors,18000000.0,Comedy,en,5.141952,4/17/92,92.0,918239.0
2184,2184,Admission,13000000,Comedy,en,10.098539,3/21/13,107.0,18000000.0
2185,2185,1492: Conquest of Paradise,47000000,Action,en,11.618792,10/9/92,154.0,7191399.0
2186,2186,The Heart is Deceitful Above All Things,74050,Drama,en,2.789574,9/15/04,98.0,176153.0
2187,2187,The Limey,10000000,Action,en,7.807741,5/15/99,89.0,3193102.0
2188,2188,Zero Effect,5000000,Comedy,en,3.621052,1/30/98,116.0,1980338.0
2189,2189,The Silver Chalice,4500000,Drama,en,0.313032,12/20/54,142.0,3200000.0
2190,2190,The Women,1688000,Comedy,en,5.076649,1/1/39,133.0,2270000.0
2191,2191,Charlie St. Cloud,44000000,Drama,en,6.273131,5/1/10,99.0,48190704.0
2192,2192,Ip Man 3,36000000,Action,cn,8.970494,12/19/15,105.0,156844753.0
2193,2193,Appleseed,10000000,Animation,ja,8.278525,4/17/04,101.0,1461989.0
2194,2194,Money Monster,27000000,Thriller,en,11.953822,5/12/16,98.0,93282604.0
2195,2195,The Deceivers,18000000.0,Thriller,en,0.876297,9/2/88,102.0,346297.0
2196,2196,Bloody Sunday,18000000.0,Action,en,7.757913,1/16/02,107.0,773228.0
2197,2197,The Train,5800000,Action,en,4.412564,9/21/64,133.0,6800000.0
2198,2198,"Kidnapping, Caucasian Style",3500000,Romance,ru,0.524653,8/21/14,95.0,179000.0
2199,2199,She's the Man,20000000,Comedy,en,6.916201,3/17/06,105.0,33889159.0
2200,2200,Batman Returns,80000000,Action,en,15.001681,6/19/92,126.0,280000000.0
2201,2201,Sweetwater,7000000,Western,en,5.799861,1/24/13,95.0,6147.0
2202,2202,Storks,70000000,Adventure,en,12.687521,9/22/16,87.0,182379278.0
2203,2203,It Might Get Loud,18000000.0,Documentary,en,4.857726,8/14/09,97.0,1896244.0
2204,2204,Cirque du Freak: The Vampire's Assistant,40000000,Adventure,en,10.829432,10/23/09,109.0,28169671.0
2205,2205,Crash,6500000,Drama,en,9.785147,1/13/04,112.0,98410061.0
2206,2206,Simon Birch,20000000,Comedy,en,2.651408,9/11/98,114.0,18253415.0
2207,2207,Total Recall,65000000,Action,en,12.954444,6/1/90,113.0,261317921.0
2208,2208,Delta Force 2: The Colombian Connection,18000000.0,Action,en,7.007739,8/24/90,111.0,6698361.0
2209,2209,Pirates of the Caribbean: At World's End,300000000,Adventure,en,31.363664,5/19/07,169.0,961000000.0
2210,2210,The Valet,18000000.0,Comedy,en,7.696023,3/29/06,85.0,29326868.0
2211,2211,Love Story,2200000,Drama,en,6.127903,12/16/70,99.0,136400000.0
2212,2212,Lockout,20000000,Action,en,8.772263,4/12/12,95.0,32204030.0
2213,2213,All About My Mother,8272296,Comedy,es,10.000915,4/19/99,101.0,67872296.0
2214,2214,Black Snake Moan,15000000,Drama,en,7.050403,12/8/06,116.0,10903846.0
2215,2215,Life As We Know It,38000000,Comedy,en,7.824962,10/2/10,114.0,105610124.0
2216,2216,Anomalisa,8000000,Animation,en,10.428421,12/30/15,90.0,5659286.0
2217,2217,The Other Woman,40000000,Comedy,en,9.389354,4/16/14,109.0,196781193.0
2218,2218,A Scanner Darkly,8700000,Animation,en,11.643026,5/25/06,100.0,7659918.0
2219,2219,Fish Tank,3000000,Drama,en,6.070216,5/14/09,123.0,2357852.0
2220,2220,Loose Cannons,7000000,Comedy,it,5.633243,2/12/10,110.0,8220215.0
2221,2221,Bottle Shock,5000000,Comedy,en,3.334353,8/6/08,110.0,4040588.0
2222,2222,The Deer Hunter,15000000,Drama,en,7.729445,12/8/78,183.0,50000000.0
2223,2223,She's All That,10000000,Comedy,en,7.064982,1/29/99,95.0,103166989.0
2224,2224,Pather Panchali,18000000.0,Drama,bn,3.900709,8/26/55,125.0,536364.0
2225,2225,Gentleman's Agreement,2000000,Drama,en,6.857318,11/11/47,118.0,7800000.0
2226,2226,"20,000 Leagues Under the Sea",200000,Adventure,en,0.917777,12/24/16,105.0,8000000.0
2227,2227,Fast & Furious,85000000,Action,en,1.498902,4/2/09,107.0,363164265.0
2228,2228,Frida,12000000,Drama,en,11.283472,8/29/02,123.0,56298474.0
2229,2229,Out of Bounds,18000000.0,Drama,en,0.779829,7/25/86,93.0,5099316.0
2230,2230,The Valley of Decision,2160000,Drama,en,0.230534,6/1/45,119.0,9132000.0
2231,2231,The Midnight Meat Train,15000000,Mystery,en,13.389735,8/7/08,98.0,3533227.0
2232,2232,Boys on the Side,21000000,Comedy,en,3.030309,2/3/95,115.0,23450000.0
2233,2233,Cop Out,30000000,Action,en,14.313079,2/26/10,107.0,55583804.0
2234,2234,Princess Kaiulani,9000000,Drama,en,1.818296,5/14/10,130.0,771499.0
2235,2235,Birdy,12000000,Drama,en,16.243093,12/14/84,120.0,1400000.0
2236,2236,Senna,18000000.0,Documentary,en,11.331859,10/7/10,106.0,8212430.0
2237,2237,Sankofa,1000000,Drama,en,0.04586,5/28/93,124.0,2691899.0
2238,2238,Stanley & Iris,23000000,Drama,en,1.914881,2/9/90,104.0,5820015.0
2239,2239,Dhoom 3,19500000,Action,hi,5.326716,12/18/13,172.0,91000000.0
2240,2240,I Spit on Your Grave,2000000,Thriller,en,12.805294,6/17/10,108.0,572809.0
2241,2241,Casino Royale,12000000,Adventure,en,13.300519,4/13/67,131.0,41744718.0
2242,2242,Zero Dark Thirty,40000000,Thriller,en,9.649303,12/19/12,157.0,132820716.0
2243,2243,Sea of Love,19000000,Drama,en,9.801967,9/15/89,113.0,110879513.0
2244,2244,Match Point,15000000,Drama,en,9.020372,10/26/05,124.0,85306374.0
2245,2245,The Girl Next Door,25000000,Comedy,en,13.083718,4/9/04,108.0,30411183.0
2246,2246,Don't Think Twice,18000000.0,Comedy,en,8.067119,7/22/16,90.0,4417667.0
2247,2247,Machete,20000000,Action,en,7.120403,9/1/10,105.0,31327899.0
2248,2248,Resident Evil,33000000,Horror,en,7.781293,3/15/02,100.0,102984862.0
2249,2249,The Great Debaters,15000000,Drama,en,8.735448,12/27/07,126.0,30226144.0
2250,2250,A Royal Night Out,18000000.0,Thriller,en,4.060966,5/14/15,97.0,228136.0
2251,2251,Bodyguard,130,Drama,hi,2.402032,8/31/11,130.0,8.0
2252,2252,The Amityville Horror,19000000,Horror,en,13.088552,4/15/05,90.0,108047131.0
2253,2253,City of Men,18000000.0,Drama,pt,3.527212,8/31/07,106.0,307076.0
2254,2254,Welcome to the Sticks,11000000,Comedy,fr,7.250134,1/9/08,106.0,53191886.0
2255,2255,Lost & Found,1,Comedy,en,1.337096,4/23/99,95.0,100.0
2256,2256,Van Gogh,18000000.0,Drama,fr,1.484109,10/30/91,158.0,138000.0
2257,2257,Capote,7000000,Crime,en,6.01272,9/30/05,114.0,49084830.0
2258,2258,Judge Dredd,90000000,Science Fiction,en,8.184815,6/30/95,96.0,113493481.0
2259,2259,Henry Poole Is Here,18000000.0,Comedy,en,5.923904,8/15/08,99.0,1829917.0
2260,2260,Saint John of Las Vegas,3800000,Comedy,en,2.894924,6/10/09,84.0,111731.0
2261,2261,The Mighty Quinn,18000000.0,Action,en,2.326119,2/17/89,98.0,4557214.0
2262,2262,Broken City,56000000,Thriller,en,12.136158,1/18/13,109.0,19701164.0
2263,2263,One Small Hitch,18000000.0,Romance,en,3.316857,2/14/13,100.0,7965.0
2264,2264,Twins,15000000,Comedy,en,5.952494,12/9/88,107.0,216614388.0
2265,2265,Aasai,500000,Action,en,0.370114,9/25/95,157.0,500000.0
2266,2266,What Women Want,70000000,Comedy,en,9.963079,12/15/00,127.0,374111707.0
2267,2267,Madea Goes to Jail,18000000.0,Comedy,en,2.844534,2/16/09,103.0,90508336.0
2268,2268,The Kite Runner,20000000,Drama,en,5.970067,10/14/07,128.0,73276047.0
2269,2269,American Pie 2,30000000,Comedy,en,10.25103,8/10/01,108.0,287553595.0
2270,2270,Mean Streets,500000,Drama,en,8.212399,10/2/73,110.0,3000000.0
2271,2271,Before the Fall,4500000,Drama,de,5.69684,7/4/04,117.0,3764219.0
2272,2272,The Girlfriend Experience,1700000,Comedy,en,6.115299,1/20/09,77.0,1007962.0
2273,2273,The Player,8000000,Comedy,en,6.230854,4/3/92,124.0,21706101.0
2274,2274,London Has Fallen,60000000,Action,en,15.037993,3/2/16,99.0,205754447.0
2275,2275,My Blueberry Nights,10000000,Drama,en,11.119593,5/16/07,111.0,21786738.0
2276,2276,Dead Snow 2: Red vs. Dead,18000000.0,Horror,no,10.287127,2/12/14,100.0,37473.0
2277,2277,My Life as a Zucchini,8000000,Animation,fr,7.321152,10/12/16,66.0,292279.0
2278,2278,The Adventures of Pluto Nash,100000000,Action,en,8.903754,8/15/02,95.0,7103973.0
2279,2279,Daddy's Little Girls,10000000,Comedy,en,6.063809,2/14/07,100.0,31609243.0
2280,2280,The Double,17000000,Action,en,5.498819,10/27/11,98.0,3696232.0
2281,2281,My Giant,18000000.0,Comedy,en,6.422711,4/10/98,103.0,7985929.0
2282,2282,Pee-wee's Big Adventure,6000000,Adventure,en,11.461437,7/26/85,90.0,40940662.0
2283,2283,Nitro Circus: The Movie,18000000.0,Action,en,4.40284,8/8/12,92.0,3903479.0
2284,2284,Tales from Earthsea,22000000,Adventure,ja,9.409701,7/29/06,115.0,68000000.0
2285,2285,Boy A,18000000.0,Crime,en,8.37404,10/28/07,100.0,1200398.0
2286,2286,Tower Heist,75000000,Action,en,7.762917,11/2/11,104.0,152930623.0
2287,2287,Bombay Velvet,18000000,Crime,hi,1.377993,5/15/15,151.0,1500000.0
2288,2288,The Duelist,12823507,Action,ru,2.981184,9/29/16,110.0,6101904.0
2289,2289,A Troll in Central Park,23000000,Fantasy,en,3.612089,10/7/94,76.0,71368.0
2290,2290,Old School,24000000,Comedy,en,16.195894,2/21/03,91.0,87055349.0
2291,2291,Steel,16000000,Science Fiction,en,2.890462,8/15/97,97.0,1686429.0
2292,2292,The Miracle,18000000.0,Drama,ru,0.436028,10/9/09,110.0,50656.0
2293,2293,The Circle,18000000,Drama,en,88.439243,4/27/17,110.0,20497844.0
2294,2294,Under the Boardwalk,18000000.0,Comedy,en,0.114609,4/14/89,102.0,147542.0
2295,2295,The Amazing Truth About Queen Raquela,400000,Documentary,en,0.038876,3/7/08,80.0,5255.0
2296,2296,The Secret Life of Walter Mitty,90000000,Adventure,en,8.684892,12/18/13,114.0,188133322.0
2297,2297,Horton Hears a Who!,85000000,Animation,en,8.326699,3/3/08,88.0,297138014.0
2298,2298,Terribly Happy,18000000.0,Drama,da,4.472892,7/15/08,90.0,179943.0
2299,2299,The Truman Show,60000000,Comedy,en,13.155901,6/4/98,103.0,264118201.0
2300,2300,This Is England,2380000,Drama,en,2.514638,9/12/06,101.0,8176544.0
2301,2301,It Doesn't Hurt Me,18000000.0,Drama,ru,1.238971,6/8/06,101.0,1110566.0
2302,2302,Happy Weekend,18000000.0,Comedy,de,0.002229,3/14/96,,65335.0
2303,2303,Papillon,12000000,Crime,en,15.698433,12/13/73,151.0,53267000.0
2304,2304,Robin Hood: Prince of Thieves,48000000,Adventure,en,10.639244,6/14/91,143.0,390493908.0
2305,2305,Hot Pursuit,35000000,Action,en,6.90658,5/8/15,87.0,51680201.0
2306,2306,Evangelion: 2.0 You Can (Not) Advance,18000000.0,Animation,ja,6.518028,6/26/09,108.0,41162041.0
2307,2307,Losin' It,7000000,Comedy,en,3.132019,4/8/83,100.0,1246141.0
2308,2308,The Rapture,1227401,Mystery,en,8.319631,10/4/91,100.0,1277401.0
2309,2309,A Clockwork Orange,2200000,Science Fiction,en,17.112594,12/18/71,136.0,26589000.0
2310,2310,Max & Leon,12156348,War,fr,5.662109,11/1/16,98.0,7900000.0
2311,2311,Baby Mama,30000000,Comedy,en,10.901355,4/23/08,99.0,63833449.0
2312,2312,Capturing the Friedmans,18000000.0,Documentary,en,4.453296,5/30/03,107.0,3117985.0
2313,2313,The Iron Lady,13000000,History,en,7.421245,12/30/11,105.0,114956699.0
2314,2314,The Congress,18000000.0,Drama,en,8.534039,5/16/13,122.0,455815.0
2315,2315,Wish I Was Here,5500000,Drama,en,6.149295,1/18/14,120.0,5483299.0
2316,2316,The Great Outdoors,24000000,Comedy,en,11.666172,6/17/88,91.0,43455230.0
2317,2317,The Fisher King,24000000,Comedy,en,11.184385,9/9/91,137.0,41895491.0
2318,2318,"Hello, Dolly!",24000000,Comedy,en,8.407519,12/12/69,146.0,33208099.0
2319,2319,The To Do List,1500000,Comedy,en,7.081404,7/24/13,104.0,3566225.0
2320,2320,ATL,20000000,Drama,en,2.582818,3/31/06,105.0,21170563.0
2321,2321,Titanic,1805000,Drama,en,12.90707,4/11/53,98.0,4905000.0
2322,2322,Transformers: Dark of the Moon,195000000,Action,en,4.503505,6/28/11,154.0,1123746996.0
2323,2323,L'Âge d'Or,18000000.0,Romance,fr,2.76145,10/28/30,63.0,7940.0
2324,2324,The Three Musketeers,75000000,Adventure,en,6.303466,8/31/11,110.0,132274484.0
2325,2325,Cold Mountain,79000000,Drama,en,9.645543,12/24/03,154.0,173013509.0
2326,2326,Deadpool,58000000,Action,en,187.860492,2/9/16,108.0,783112979.0
2327,2327,Beetlejuice,15000000,Fantasy,en,10.627364,2/29/88,92.0,73326666.0
2328,2328,Alex Cross,45000000,Action,en,8.279285,10/18/12,101.0,30353232.0
2329,2329,Late Autumn,6200000,Drama,ko,1.077252,9/10/10,113.0,4820000.0
2330,2330,We Are What We Are,18000000.0,Drama,en,7.859837,9/27/13,105.0,81381.0
2331,2331,My Week with Marilyn,6400000,Drama,en,12.203066,10/17/11,99.0,35057696.0
2332,2332,She's Funny That Way,18000000.0,Comedy,en,7.032964,10/27/14,93.0,111996.0
2333,2333,You Only Live Twice,9500000,Action,en,10.359669,6/12/67,117.0,111584787.0
2334,2334,Kung Fu Dunk,10000000,Action,en,8.406056,2/7/08,100.0,22896728.0
2335,2335,Elevator to the Gallows,18000000.0,Drama,fr,5.184701,1/29/58,88.0,263404.0
2336,2336,Smokey and the Bandit II,18000000.0,Action,en,7.190986,8/15/80,100.0,66132626.0
2337,2337,Something Wild,18000000.0,Action,en,4.737529,11/7/86,113.0,8362969.0
2338,2338,Fight Club,63000000,Drama,en,63.869599,10/15/99,139.0,100853753.0
2339,2339,Cinderfella,3000000,Comedy,en,2.395067,12/18/60,91.0,7100000.0
2340,2340,The Frighteners,30000000,Horror,en,12.09096,7/18/96,110.0,29359216.0
2341,2341,Urban Legend,14000000,Horror,en,6.081401,9/25/98,99.0,72527595.0
2342,2342,Recep İvedik,500000,Comedy,tr,1.640271,2/22/08,90.0,5330000.0
2343,2343,Desert Hearts,350000,Drama,en,1.553107,10/1/85,96.0,2400000.0
2344,2344,Flyboys,60000000,Action,en,5.460942,9/22/06,140.0,17800000.0
2345,2345,How to Eat Fried Worms,18000000.0,Comedy,en,4.691574,1/1/06,98.0,13022756.0
2346,2346,The Longest Day,10000000,Action,en,10.770928,9/25/62,178.0,50100000.0
2347,2347,Hidden Figures,25000000,Drama,en,16.816834,12/10/16,127.0,230698791.0
2348,2348,Gardens of Stone,18000000.0,Drama,en,2.787833,5/5/87,111.0,5262047.0
2349,2349,The Exorcist,8000000,Drama,en,12.137595,12/26/73,122.0,441306145.0
2350,2350,Accepted,23000000,Comedy,en,7.06088,8/18/06,93.0,38505009.0
2351,2351,Indiana Jones and the Temple of Doom,28000000,Adventure,en,15.802306,5/23/84,118.0,333000000.0
2352,2352,Earthquake,7000000,Action,en,6.657792,11/15/74,123.0,79666653.0
2353,2353,Jodhaa Akbar,8376800,Action,hi,12.237488,2/15/08,213.0,13000000.0
2354,2354,Johnson Family Vacation,12000000,Comedy,en,3.223039,4/7/04,97.0,31179516.0
2355,2355,American History X,20000000,Drama,en,18.157166,10/30/98,119.0,23875127.0
2356,2356,Hudson Hawk,65000000,Action,en,9.782014,5/23/91,100.0,17218080.0
2357,2357,Man of Steel,225000000,Action,en,18.538834,6/12/13,143.0,662845518.0
2358,2358,The Minus Man,18000000.0,Drama,en,2.255032,2/25/99,111.0,370668.0
2359,2359,A Fine Mess,18000000.0,Comedy,en,0.765825,8/8/86,90.0,6029824.0
2360,2360,Neruda,18000000.0,Drama,es,6.997583,6/17/16,108.0,939101.0
2361,2361,Knockaround Guys,15000000,Crime,en,6.557426,9/7/01,92.0,12000000.0
2362,2362,Touchy Feely,18000000.0,Drama,en,2.976672,1/19/13,89.0,35022.0
2363,2363,Jack,45000000,Comedy,en,6.287245,8/9/96,113.0,58620973.0
2364,2364,Into the Storm,50000000,Action,en,9.092925,8/6/14,89.0,160602194.0
2365,2365,Labyrinth of Lies,18000000.0,Drama,de,9.046751,9/6/14,122.0,794452.0
2366,2366,Shaun the Sheep Movie,18000000.0,Family,en,9.961184,2/5/15,85.0,59700000.0
2367,2367,Internal Affairs,18000000.0,Crime,en,5.439942,1/12/90,114.0,27734391.0
2368,2368,Rigor Mortis,18000000.0,Horror,cn,9.503762,9/6/13,105.0,7865.0
2369,2369,Dreamgirls,70000000,Drama,en,7.739633,12/25/06,134.0,154937680.0
2370,2370,Wrath of the Titans,150000000,Adventure,en,7.739904,3/27/12,99.0,301000000.0
2371,2371,House Calls,18000000.0,Comedy,en,0.975702,3/15/78,98.0,28460702.0
2372,2372,Julie & Julia,40000000,Romance,en,8.142089,8/6/09,123.0,129540499.0
2373,2373,About Time,12000000,Comedy,en,11.213913,8/16/13,123.0,87100449.0
2374,2374,Hatchet II,2500000,Horror,en,12.525758,8/26/10,89.0,52604.0
