,film,budget,genres,original_language,popularity,production_companies,release_date,runtime,revenue
1921,Paranormal Activity: The Marked Ones,5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,8.898523,"[{'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Room 101', 'id': 6302}, {'name': 'Solana Films', 'id': 21223}]",2014-01-01,84.0,86362372.0
1922,Cleopatra,31115000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",en,8.591238,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'MCL Films S.A.', 'id': 11451}, {'name': 'Walwa Films S.A.', 'id': 11452}]",2063-06-12,248.0,71000000.0
1923,OPA!,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",en,1.218763,,2005-11-13,100.0,6000000.0
1924,Sex and the City,65000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,9.170332,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Darren Star Productions', 'id': 1694}, {'name': 'Home Box Office (HBO)', 'id': 3268}]",2008-05-12,145.0,415252786.0
1925,Monster in a Box,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,0.009961,,1992-05-15,87.0,311245.0
1926,For Your Eyes Only,28000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,9.765123,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",1981-06-23,127.0,195312802.0
1927,Enthiran,26400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",ta,4.330396,"[{'name': 'Sun Pictures', 'id': 7135}]",2010-10-01,155.0,62000000.0
1928,Final Destination 3,25000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",en,11.872997,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Zide-Perry Productions', 'id': 3169}, {'name': 'Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG', 'id': 12067}, {'name': 'Hard Eight Pictures', 'id': 48772}, {'name': 'Matinee Pictures', 'id': 48785}, {'name': 'Practical Pictures', 'id': 48788}]",2006-02-10,93.0,117719158.0
1929,Third Person,28000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,8.808328,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Hwy61', 'id': 6320}, {'name': 'Corsan', 'id': 7299}, {'name': 'Le Tax Shelter du Gouvernement Fédéral de Belgique', 'id': 11921}, {'name': 'Apulia Film Commission', 'id': 12032}, {'name': 'Italian Tax Credit', 'id': 21212}, {'name': 'Volten', 'id': 32874}, {'name': 'Lailaps Pictures', 'id': 32875}, {'name': 'Filmfinance XII', 'id': 88044}]",2013-09-09,137.0,1749201.0
1930,Eyes Wide Shut,65000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",en,13.268484,"[{'name': 'Hobby Films', 'id': 194}, {'name': 'Pole Star', 'id': 195}, {'name': 'Stanley Kubrick Productions', 'id': 385}, {'name': 'Warner Bros.', 'id': 6194}]",1999-07-14,159.0,162091208.0
1931,Something to Talk About,0.0,"[{'id': 35, 'name': 'Comedy'}]",en,3.743212,"[{'name': 'Spring Creek Productions', 'id': 705}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Hawn / Sylbert Movie Company', 'id': 16368}]",1995-08-04,106.0,50892160.0
1932,The Odd Life of Timothy Green,0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,5.426921,"[{'name': 'Walt Disney Pictures', 'id': 2}]",2012-08-15,105.0,51854875.0
1933,Evan Almighty,175000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,9.156877,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Shady Acres Entertainment', 'id': 159}, {'name': 'Original Film', 'id': 333}, {'name': 'Playtone', 'id': 4171}, {'name': 'Relativity Media', 'id': 7295}]",2007-06-09,96.0,173000000.0
1934,The Flintstones in Viva Rock Vegas,83000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,6.053595,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",2000-04-28,90.0,59468275.0
1935,Blended,40000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,10.395472,"[{'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Karz Entertainment', 'id': 4194}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Gulfstream Pictures', 'id': 20788}]",2014-05-21,117.0,123494610.0
1936,Blues Brothers 2000,28000000.0,"[{'id': 10402, 'name': 'Music'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,13.162168,"[{'name': 'Universal Pictures', 'id': 33}]",1998-02-05,123.0,14051384.0
1937,Don't Tell Mom the Babysitter's Dead,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,5.402262,"[{'name': 'Mercury', 'id': 438}, {'name': 'Home Box Office (HBO)', 'id': 3268}, {'name': 'Cinema Plus', 'id': 4657}, {'name': 'Outlaw Productions (I)', 'id': 19507}, {'name': 'Douglas', 'id': 61896}]",1991-06-07,105.0,25196249.0
1938,Appaloosa,20000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 80, 'name': 'Crime'}]",en,12.392754,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Groundswell Productions', 'id': 4205}, {'name': 'Axon Films', 'id': 21106}]",2008-09-12,115.0,20211394.0
1939,Missing in Action,1500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",en,6.241185,"[{'name': 'Cannon Group', 'id': 1444}]",1984-11-16,101.0,22812411.0
1940,Virtuosity,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,5.188399,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-08-04,106.0,24048000.0
1941,The Overnight,0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}]",en,7.834161,"[{'name': 'Duplass Brothers Productions', 'id': 1974}, {'name': ""Gettin' Rad Productions"", 'id': 63631}]",2015-06-19,80.0,1100000.0
1942,Alone With Her,1000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",en,2.392367,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Pin Hole Productions LLC', 'id': 13358}]",2006-04-28,78.0,10018.0
1943,The Whole Ten Yards,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,7.15606,"[{'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'MHF Zweite Academy Film', 'id': 8848}, {'name': 'Eclipse Catering', 'id': 23787}, {'name': 'Nine Yards Two Productions', 'id': 51771}, {'name': 'Nine Yards Productions', 'id': 51772}]",2004-04-07,98.0,26155781.0
1944,Omen III: The Final Conflict,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,7.798615,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1981-03-20,108.0,20471382.0
1945,The Ballad of Jack and Rose,1500000.0,"[{'id': 18, 'name': 'Drama'}]",en,4.173231,"[{'name': 'Elevation Filmworks', 'id': 1840}, {'name': 'Initial Entertainment Group (IEG)', 'id': 7380}, {'name': 'IFC Productions', 'id': 26468}, {'name': 'Jack and Rose Productions', 'id': 37334}]",2005-03-25,111.0,712294.0
1946,Frances Ha,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,8.471415,"[{'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'RT Features', 'id': 30666}, {'name': 'Pine District Pictures', 'id': 88533}]",2013-05-17,86.0,4069826.0
1947,Mao's Last Dancer,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1.862215,"[{'name': 'Great Scott Productions Pty. Ltd.', 'id': 2814}]",2009-10-01,117.0,20719451.0
1948,Malamaal Weekly,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",hi,1.479018,"[{'name': 'Percept Picture Company', 'id': 1841}]",2006-03-10,138.0,204.0
1949,Paris Can Wait,5000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,8.966129,"[{'name': 'American Zoetrope', 'id': 70}]",2016-09-12,92.0,6700000.0
1950,Max Payne,35000000.0,"[{'id': 28, 'name': 'Action'}]",en,10.08043,"[{'name': 'Dune Entertainment', 'id': 444}, {'name': 'Firm Films', 'id': 1838}, {'name': 'Collision Entertainment', 'id': 2179}, {'name': 'Abandon Entertainment', 'id': 2724}, {'name': 'Foxtor Productions', 'id': 2725}, {'name': 'Depth Entertainment', 'id': 11995}]",2008-10-15,100.0,85416905.0
1951,Sex and Lucia,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",es,8.164312,"[{'name': 'Alicia Produce S L', 'id': 693}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Televisión Española TVE', 'id': 6780}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Sociedad General de Cine (SOGECINE) S.A.', 'id': 11954}, {'name': 'Sogepaq', 'id': 11955}]",2001-08-24,128.0,2628241.0
1952,Jayne Mansfield's Car,0.0,"[{'id': 18, 'name': 'Drama'}]",en,1.655794,"[{'name': 'Media Talent Group', 'id': 3490}, {'name': 'AR Films', 'id': 11005}, {'name': 'Aldamisa Entertainment', 'id': 11006}]",2012-02-13,122.0,14836.0
1953,Dressed to Kill,6500000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,9.3806,"[{'name': 'Filmways Pictures', 'id': 1138}, {'name': 'Cinema 77 Films', 'id': 10317}]",1980-06-25,105.0,31899000.0
1954,When a Man Loves a Woman,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,4.322544,"[{'name': 'Touchstone Pictures', 'id': 9195}]",1994-04-29,126.0,50021959.0
1955,A Few Good Men,40000000.0,"[{'id': 18, 'name': 'Drama'}]",en,12.330249,"[{'name': 'David Brown Productions', 'id': 903}]",1992-12-11,138.0,243240178.0
1956,Five Graves to Cairo,855000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",en,1.121417,"[{'name': 'Paramount Pictures', 'id': 4}]",2043-05-03,96.0,1200000.0
1957,Rocky V,42000000.0,"[{'id': 18, 'name': 'Drama'}]",en,14.007329,"[{'name': 'United Artists', 'id': 60}]",1990-10-18,104.0,119946358.0
1958,Search and Destroy,4000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,0.737602,"[{'name': 'October Films', 'id': 236}, {'name': 'Nu Image Films', 'id': 925}, {'name': 'Autumn Pictures', 'id': 65327}]",1995-01-01,90.0,389503.0
1959,Bikini Spring Break,500000.0,"[{'id': 35, 'name': 'Comedy'}]",en,1.946823,"[{'name': 'The Asylum', 'id': 1311}]",2012-06-26,87.0,500000.0
1960,The Cider House Rules,24000000.0,"[{'id': 18, 'name': 'Drama'}]",en,9.526781,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'FilmColony', 'id': 1811}]",1999-12-17,126.0,88545092.0
1961,Cropsey,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 27, 'name': 'Horror'}]",en,2.065029,,2010-04-29,85.0,35456.0
1962,Glory Road,0.0,"[{'id': 18, 'name': 'Drama'}]",en,5.244654,"[{'name': 'Walt Disney Pictures', 'id': 2}]",2006-01-13,118.0,42647449.0
1963,Working Girl,28000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,8.318954,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1988-12-20,114.0,103173635.0
1964,Waiting for Happiness,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",fr,0.35233,"[{'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Duo Films', 'id': 16125}]",2002-05-19,91.0,7406.0
1965,Runaway Train,9000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,15.236541,"[{'name': 'Cannon Group', 'id': 1444}, {'name': 'Golan-Globus Productions', 'id': 13549}, {'name': 'Northbrook Films', 'id': 14227}]",1985-11-15,111.0,7936012.0
1966,Charlie Countryman,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",en,9.609726,"[{'name': 'Bona Fide Productions', 'id': 2570}, {'name': 'MediaPro Pictures', 'id': 11819}]",2013-02-09,108.0,11650.0
1967,The Cotton Club,58000000.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",en,9.508061,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'PSO International', 'id': 427}, {'name': 'Totally Independent', 'id': 991}]",1984-12-14,127.0,25928721.0
1968,Safe House,85000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,8.338675,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Dentsu', 'id': 6452}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Bluegrass Films', 'id': 13778}]",2012-02-09,115.0,208076205.0
1969,Drinking Buddies,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",en,7.745083,"[{'name': 'Burn Later Productions', 'id': 18346}]",2013-08-23,90.0,343341.0
1970,Big Game,8500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,6.911759,"[{'name': 'Head Gear Films', 'id': 5056}, {'name': 'Altitude Film Entertainment', 'id': 19638}, {'name': 'Film House Germany', 'id': 19639}, {'name': 'Metrol Technology', 'id': 25954}, {'name': 'Ketchup Entertainment', 'id': 39734}, {'name': 'Egoli Tossell Film', 'id': 44224}, {'name': 'Bavaria Film Partners', 'id': 62407}, {'name': 'Subzero Film Entertainment', 'id': 62408}, {'name': 'VisionPlus Fund I', 'id': 62409}, {'name': 'Waterstone Entertainment', 'id': 62410}]",2014-09-05,90.0,7500000.0
1971,Thief of Hearts,9000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",en,0.941383,"[{'name': 'Paramount Pictures', 'id': 4}]",1984-10-19,100.0,10364904.0
1972,The Wolverine,120000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,3.918287,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Marvel Entertainment', 'id': 7505}, {'name': 'Bad Hat Harry Productions', 'id': 9168}, {'name': 'Big Screen Productions', 'id': 10893}, {'name': 'TSG Entertainment', 'id': 22213}]",2013-07-23,126.0,415440673.0
1973,Videodrome,5952000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",en,7.945039,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Famous Players Ltd', 'id': 541}, {'name': 'Guardian Trust Company', 'id': 542}, {'name': 'Filmplan International II', 'id': 543}]",1983-02-04,87.0,2120439.0
1974,Breaking Away,2300000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,4.806374,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1979-05-24,100.0,20000000.0
1975,Chapiteau-Show,2000000.0,"[{'id': 35, 'name': 'Comedy'}]",ru,0.74156,"[{'name': 'Passenger Film Studio', 'id': 23343}]",2011-12-12,207.0,393816.0
1976,The Finest Hours,80000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",en,10.385757,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Whitaker Entertainment', 'id': 51164}, {'name': 'Bergsten Music', 'id': 77739}, {'name': 'Red Hawk Entertainment', 'id': 78217}]",2016-01-25,114.0,52099090.0
1977,Janky Promoters,10000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,1.192891,"[{'name': 'Cube Vision', 'id': 2780}, {'name': 'Dimension Films', 'id': 7405}]",2009-10-16,85.0,9069.0
1978,The Art of War,40000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,9.800232,"[{'name': 'Amen Ra Films', 'id': 421}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",2000-08-23,117.0,30199105.0
1979,Ip Man,11715578.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",cn,6.004257,"[{'name': 'Mandarin Films Distribution Co.', 'id': 4054}]",2008-12-12,108.0,21888598.0
1980,"Jeff, Who Lives at Home",10000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,5.872794,"[{'name': 'Indian Paintbrush', 'id': 9350}]",2011-09-13,83.0,4417580.0
1981,The Program,0.0,"[{'id': 18, 'name': 'Drama'}]",en,3.199976,"[{'name': 'Touchstone Pictures', 'id': 9195}]",1993-09-24,112.0,23042200.0
1982,Superman II,54000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",en,10.301621,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dovemead Films', 'id': 51861}, {'name': 'Film Export A.G.', 'id': 51862}]",1980-12-04,127.0,190458706.0
1983,Priest,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1.881932,"[{'name': 'BBC Films', 'id': 288}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Miramax', 'id': 53009}]",1994-01-01,98.0,4176932.0
1984,Yes Man,70000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,9.756289,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'The Zanuck Company', 'id': 80}, {'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",2008-12-09,104.0,225990978.0
1985,Aferim!,1379375.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",ro,2.214179,"[{'name': 'HI Film Productions', 'id': 8698}, {'name': 'Klas Film', 'id': 70098}, {'name': 'Endorfilm', 'id': 80500}]",2015-01-22,108.0,105097.0
1986,The Karate Kid,40000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,11.690781,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'China Film Group', 'id': 5635}, {'name': 'Overbrook Entertainment', 'id': 12485}]",2010-06-10,140.0,357852395.0
1987,Kal Ho Naa Ho,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",hi,5.584308,"[{'name': 'Dharma Productions Dillywood', 'id': 66326}]",2003-11-27,186.0,13200241.0
1988,Married to the Mob,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",en,5.611184,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Mysterious Arts', 'id': 1072}, {'name': 'Orion Pictures Corporation', 'id': 14150}]",1988-08-19,104.0,21486757.0
1989,Sarkar,1900000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",hi,2.004745,"[{'name': 'Sahara One Entertainment', 'id': 3652}]",2005-07-01,123.0,5900000.0
1990,Halloween 4: The Return of Michael Myers,5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,6.199806,"[{'name': 'Dimension Films', 'id': 7405}]",1988-10-21,88.0,17768757.0
1991,Switchback,37000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,3.742824,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Pacific Western', 'id': 1280}, {'name': 'Rysher Entertainment', 'id': 11661}]",1997-10-31,118.0,6482195.0
1992,Aadukalam,4000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",ta,0.372987,"[{'name': 'Sun Pictures', 'id': 7135}]",2011-01-14,160.0,6000000.0
1993,Batman: Assault on Arkham,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",en,6.0955,"[{'name': 'Warner Bros. Animation', 'id': 2785}, {'name': 'Warner Premiere', 'id': 4811}, {'name': 'DC Entertainment', 'id': 9993}]",2014-08-12,75.0,4571025.0
1994,Last Man Standing,67000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,11.845918,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Metropolitan Filmexport', 'id': 656}]",1996-09-20,101.0,47267001.0
1995,Spy,65000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,13.257467,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Chernin Entertainment', 'id': 7076}, {'name': 'Feigco Entertainment', 'id': 61791}]",2015-05-06,120.0,235666219.0
1996,13 Hours: The Secret Soldiers of Benghazi,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",en,18.022579,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': '3 Arts Entertainment', 'id': 787}, {'name': 'Bay Films', 'id': 6734}, {'name': 'Latina Pictures', 'id': 19108}, {'name': 'Dune Films', 'id': 19477}]",2016-01-13,144.0,69411370.0
1997,Picture Perfect,19000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,4.347079,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': '3 Arts Entertainment', 'id': 787}]",1997-08-01,105.0,44332015.0
1998,Intolerable Cruelty,60000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,13.469862,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Mike Zoss Productions', 'id': 2092}, {'name': 'Alphaville Productions', 'id': 6556}]",2003-09-02,100.0,119940815.0
1999,Dark City,27000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",en,12.851984,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Mystery Clock Cinema', 'id': 908}]",1998-02-27,100.0,27200316.0
2000,The One and Only,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,0.43491,"[{'name': 'First Artists', 'id': 4376}, {'name': 'Balmoral Associates', 'id': 41810}]",1978-02-03,97.0,16928137.0
2001,Kickboxer 2:  The Road Back,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,8.500628,"[{'name': 'Kings Road Entertainment', 'id': 4255}]",1991-01-30,89.0,1250712.0
2002,Jeepers Creepers,10000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,10.414363,"[{'name': 'United Artists', 'id': 60}, {'name': 'American Zoetrope', 'id': 70}, {'name': 'Cinerenta Medienbeteiligungs KG', 'id': 995}, {'name': 'Cinerenta-Cinebeta', 'id': 21784}, {'name': 'VCL Communications', 'id': 21785}]",2001-07-01,90.0,59217789.0
2003,Species II,35000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",en,13.495247,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1998-04-10,93.0,19165560.0
2004,The Invasion,80000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,5.228837,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",2007-08-17,99.0,15071514.0
2005,Empire,4000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",en,2.148655,"[{'name': 'Universal Studios', 'id': 13}]",2002-12-06,90.0,18591272.0
2006,Balto,0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,12.140733,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]",1995-12-22,78.0,11348324.0
2007,Queen Christina,1114000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",en,2.886254,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2033-12-26,99.0,2610000.0
